STU_ID,INCODE,INSTNUM,TYPETUIT,NUMATND,ENRLSTAT,MAJCODE,MAJVERB,MAJSRCH,HRSWEKLY,TYPDEGCT,DATRCVMO,DATRCVYR,JOBCHNG,GRANTS,LOANS,WORKSTDY,OTH_FINA,NO_FINA,AMT_FINA,CAMPJOB,EDRELJOB,PARNBORW,F3PSEAT,F3PSEEN,F3PSECT,F3SEC2A,STRTMON1,STRTYR1,ENDMON1,ENDYR1,STRTMON2,STRTYR2,ENDMON2,ENDYR2,STRTMON3,STRTYR3,ENDMON3,ENDYR3,STRTMON4,STRTYR4,ENDMON4,ENDYR4
4557819,-10,1,-6,1,1,481,WELDING,WELDING,-9,2,6,93,2,2,2,2,2,1,-9,1,2,2,14,14,1,-6,5,92,6,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
2574582,1049,1,1,1,3,481,WELDING,WELDING,4,2,0,0,-9,2,2,2,2,1,-9,2,2,2,7,7,1,4,4,93,10,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
7261294,348,1,-9,1,1,140,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEER,-9,4,0,0,-9,1,1,1,2,2,11000,1,2,2,25,25,1,5,8,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
7261294,2312,2,1,1,3,240,GENERAL STUDIES,GENERAL STUDIES,-9,1,0,0,-9,2,2,2,2,1,-9,2,2,2,3,3,1,4,6,93,8,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4576430,1764,1,1,1,1,150,ENGINEER TECHNICIAN,ENGINEER TECHNICIAN,-9,3,0,0,-9,1,2,2,2,2,3000,2,2,2,24,24,1,6,9,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4508704,1232,1,1,1,3,130,PRIMARY EDUCATION,@PRIMARY EDUCATION,4,5,0,0,-9,1,2,2,2,2,-8,2,2,2,7,7,1,4,2,94,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
6867132,49,1,1,1,1,900,NONE,NONE,-9,4,0,0,-9,1,1,2,2,2,3000,2,2,2,25,25,1,6,8,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
6867132,2275,2,1,1,3,900,NONE,NONE,-9,3,0,0,-9,1,1,2,2,2,150,1,2,2,8,8,1,4,1,94,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
7233651,596,1,-9,1,1,62,BUSINESS MANAGERMENT,BUSINESS MANAGEMENT,-9,4,0,0,-9,2,2,2,2,1,-9,2,2,1,4,4,1,5,9,92,12,92,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
794312,44,1,1,1,1,454,SOCIOLOGY,SOCIOLOGY,-9,4,0,0,-9,2,2,2,2,1,-9,2,2,2,12,12,1,6,9,93,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
7217949,1682,1,1,1,2,63,BUSINESS ADMINISTRATION,BUSINESS ADMINISTRATION,-9,3,0,0,-9,2,2,2,2,1,-9,2,2,2,17,17,1,4,9,92,1,94,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
7241527,1983,1,1,1,1,62,BUSINESS,BUSINESS,-9,4,0,0,-9,1,2,2,2,2,2000,2,2,2,24,24,1,6,9,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
7297397,1180,1,-9,1,1,91,COMMUNICATIONS,COMMUNICATION,-9,4,0,0,-9,1,2,2,2,2,15000,1,2,2,24,24,1,5,9,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
2597527,-10,1,-8,1,1,280,SECURITY OFFICER,@SECURITY OFFICER,50,2,11,93,1,2,2,2,2,1,-9,2,2,2,2,2,1,-6,10,93,11,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4567822,2384,1,1,1,1,900,UNDECLARED,UNDECLARED,-9,4,0,0,-9,1,1,2,2,2,5000,2,2,2,12,12,1,6,9,93,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4590399,441,1,1,1,1,240,LIBERAL ARTS,LIBERAL ART,-9,3,0,0,-9,2,2,2,2,1,-9,2,2,1,24,24,1,4,9,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
7297353,281,1,-9,1,1,61,FINANCE,FINANCE,-9,4,0,0,-9,1,1,1,2,2,15000,2,2,2,24,24,1,5,9,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
760970,2013,1,1,1,1,301,ENVIRONMENTAL SCIENCE,ENVIRONMENT SCIENCE,-9,3,0,0,-9,2,2,1,2,2,1200,1,2,1,24,24,1,4,9,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
6806001,470,1,-9,1,1,100,COMPUTER TECHNOLOGY,COMPUTER TECHNOLOGY,12,3,0,0,-9,2,1,2,2,2,2625,2,2,2,12,12,1,1,11,92,10,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4576461,564,1,-9,1,3,170,MEDICAL ASSISTANT,MEDICAL ASSIST,-9,2,0,0,-9,2,2,2,2,1,-9,2,1,2,7,7,1,5,2,94,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4522773,656,1,1,1,1,271,MATHEMATHICS,MATHEMATIC,-9,4,0,0,-9,1,2,2,2,2,1000,2,2,2,25,25,1,6,8,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
739562,-10,1,2,1,1,170,MEDICAL ASSISTANT,MEDICAL ASSIST,24,2,9,92,2,2,2,2,2,1,-9,2,2,2,3,3,1,-6,7,92,9,92,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
7216432,513,1,2,1,1,63,BUSINESS ADMINISTRATION,BUSINESS ADMINISTRATION,-9,3,0,0,-9,1,1,2,2,2,6000,2,2,1,9,9,1,6,9,92,5,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
7216432,1672,2,1,1,1,240,LIBERAL ARTS,LIBERAL ART,-9,1,0,0,-9,2,2,2,2,1,-9,2,2,2,12,12,1,4,9,93,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4556780,2048,1,1,1,3,185,NURSING,NURSING,4,2,0,0,-9,2,2,2,2,1,-9,2,2,2,13,13,1,4,8,93,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
2599577,2377,1,2,2,2,135,TEACHING,TEACH,-9,5,0,0,-9,2,2,1,2,2,500,2,2,2,29,32,2,4,1,92,8,93,12,93,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9
2543498,2047,1,1,1,1,220,LEGAL ASSISTANT,LEGAL ASSIST,-9,3,0,0,-9,1,2,2,2,2,695,2,2,2,8,8,1,4,1,94,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
4508774,1232,1,1,2,1,900,UNDECIDED,UNDECIDED,-9,1,0,0,-9,2,2,2,2,1,-9,2,2,2,-6,-6,2,4,7,92,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
4545246,1764,1,1,1,1,60,ACCOUNTING,ACCOUNTING,-9,4,0,0,-9,1,2,2,2,2,1700,2,2,2,24,24,1,6,9,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4590042,361,1,1,1,1,240,GENERAL STUDIES,GENERAL STUDIES,12,5,0,0,-9,2,2,2,2,1,-9,2,1,2,17,17,1,4,8,92,12,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4549755,2048,1,2,1,2,430,LAW ENFORCEMENT,LAW ENFORCEMENT,15,3,0,0,-9,1,2,2,2,2,2500,2,1,2,25,25,1,4,8,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4550215,1783,1,1,1,3,900,NO MAJOR,NO MAJOR,7,1,0,0,-9,2,2,2,2,1,-9,2,2,2,6,6,1,4,1,92,6,92,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
733477,2452,1,1,1,1,240,GENERAL STUDIES,GENERAL STUDIES,4,1,0,0,-9,2,2,2,2,1,-9,2,2,2,5,5,1,4,1,92,5,92,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4565476,-10,1,-9,1,3,460,CARPENTRY,*@CARPENTRY,-9,2,0,0,-9,2,2,2,2,1,-9,2,1,2,24,24,1,-6,9,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
7211514,1758,1,1,1,1,900,NO MAJOR,NO MAJOR,16,3,0,0,-9,1,2,2,2,2,310,1,2,2,5,5,1,4,9,92,1,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
731432,2512,1,2,1,1,263,BIOLOGY,BIOLOGY,-9,4,0,0,-9,1,1,2,2,2,4000,1,2,1,25,25,1,6,8,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4574748,733,1,1,2,1,454,CRIMINOLOGY,CRIMINOLOGY,-9,3,0,0,-9,2,2,2,2,1,-9,2,2,2,22,24,2,4,9,92,3,93,6,93,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9
715703,1621,1,1,1,2,472,AIR CONDITIONING AND HEATING,AIR CONDITION HEATING,6,1,0,0,-9,1,2,2,2,2,1200,2,2,2,-6,-6,1,4,-8,93,-8,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
6839791,567,1,-9,1,1,171,PHYSICAL THEAPRY,PHYSICAL THERAPY,-9,4,0,0,-9,1,1,1,2,2,2350,1,2,2,9,9,1,5,1,93,9,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
7837293,57,1,1,1,1,240,GENERAL COURSES,*@GENERAL @COURSES,18,5,0,0,-9,2,2,2,2,1,-9,2,2,2,12,12,1,4,6,92,5,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
7243898,2191,1,1,1,1,112,COMPUTER SCIENCE,COMPUTER SCIENCE,-9,3,0,0,-9,2,2,2,2,1,-9,2,2,2,12,12,1,4,9,93,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4513235,1224,1,1,1,1,185,NURSING,NURSING,21,2,0,0,-9,1,2,2,2,2,-8,2,2,2,8,8,1,4,9,92,4,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4513235,-10,2,-9,1,1,185,NURSING,NURSING,29,2,0,0,-9,2,2,2,2,1,-9,2,1,2,8,8,1,-6,1,94,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4553187,574,1,1,1,1,112,COMPUTER SCIENCE,COMPUTER SCIENCE,-9,3,0,0,-9,2,2,2,2,1,-9,2,1,2,10,10,1,4,9,92,6,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4553187,2048,2,1,1,1,112,COMPUTER SCIENCE,COMPUTER SCIENCE,-9,3,0,0,-9,2,2,2,2,1,-9,2,2,2,12,12,1,4,9,93,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4522778,-6,1,-9,1,1,60,COMPUTERS/ PAYROLL,COMPUTER PULMONARY,20,2,0,0,-9,1,2,2,2,2,1700,2,2,2,8,8,1,-6,1,94,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4519772,456,1,1,1,1,150,DRAFTING AND DESIGN TECHNOLOGY,DRAFTING DESIGN TECHNOLOGY,-9,3,5,94,2,1,2,1,2,2,428,1,2,2,25,25,1,4,8,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
2561804,1213,1,1,5,2,144,ENGINEERING,ENGINEER,-9,4,0,0,-9,2,2,2,2,1,-9,2,2,2,-6,-6,2,6,6,92,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
2561804,1939,2,1,1,2,144,ENGINEERING,ENGINEER,-9,5,0,0,-9,2,2,2,2,1,-9,2,2,-3,8,8,1,4,1,94,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
